X,Y,Degree,Radius,ArcDeflection,ChordDirection,PointsDefl,DistanceBack,DistanceAhead,ArcLengthBack,ArcLengthAhead
655848.075,224101.493,,,,,,
655876.681366074,224110.401766399,47.46512460235215,120.71132224572949,28.50262172510362,79.82435653762853,30.038928187062883,30.01068079192876,14.251310862600786,29.96148024907269,29.933451022904695
655906.572509304,224111.992692715,12.725438751411561,450.24600434092554,7.628203007231485,88.86253297166634,29.938966402766003,30.005552259785656,3.814101503600173,29.933451022904695,29.99999999989023
655936.569818035,224111.590860794,1.8532031325435657e-10,30917160945245.38,1.1119219166396455e-10,90.76746538788119,30.000001001334,30.000001001334,5.558337361325642e-11,29.99999999989023,29.99999999989062
655966.567126766,224111.189028873,6.2890168401697605e-09,911045096065.218,3.773410074088316e-09,90.76746538885232,29.99999976138131,29.99999976138131,1.886717759262884e-09,29.99999999989062,30.00000000002028
655996.564435497,224110.787196951,-6.474337153456025e-09,884967497908.224,-3.884602265752281e-09,90.76746538882453,-29.999999796725643,-29.999999796725643,-1.9423011328761406e-09,30.00000000002028,29.99999999989023
656026.561744228,224110.38536503,-8.930958046655861e-11,64154124578534.27,-5.358598527329733e-11,90.76746538783999,-30.000132680817067,-30.000132680817067,-2.6792992636648664e-11,29.99999999989023,30.000000000937874
656056.55905296,224109.983533109,2.746298937192083e-10,20862907070001.504,1.647777793679267e-10,90.76746538786777,30.000007632284444,29.9999352495351,8.237636624990508e-11,30.000000000937874,29.99999999989062
656086.556361691,224109.581701188,-1.2335389913460733,4644.829220238877,-0.7401010320922773,90.58244604218036,-30.00005214517648,-29.998134963984754,-0.3700505160459733,29.99999999989062,29.998082828695402
656116.553722906,224109.373630214,-17.74465939480637,322.8902749739567,-10.647091368179762,87.73635611736752,1998.770549772691,-2058.7722163659423,-5.323545684038228,29.998082828695402,29.982003239550664
656146.424979719,224111.948224293,-21.032670309437353,272.4132441108713,-12.620431562615012,81.91825492344375,-29.997156523570077,-30.006786755815753,-6.310215781262749,29.982003239550664,29.991618874240526
656175.841711504,224117.792289127,-4.04976556959499,1414.7924991819314,-2.429565431597567,78.15617718991514,-29.992180471452933,-30.000562067482335,-1.2147827157986437,29.991618874240526,29.999999999309306
656205.136119456,224124.260493105,0.596374293674879,9607.352315611015,0.3578204957749176,77.63832475825765,30.000012187677317,29.99930360610302,0.17891024788774187,29.999999999309306,29.99929141859828
656234.449889608,224130.63704116,16.09147689913981,356.0629013247699,9.654731565332687,80.1407677315644,30.008171467252016,29.990867936326868,4.827365782667416,29.99929141859828,29.98200323934454
656264.179145535,224134.521865515,20.9808847839957,273.08562104486543,12.589362769477345,85.7030015106002,29.997081894711737,30.00688313864359,6.2946813847149725,29.98200323934454,29.991789699539062
656294.164892437,224135.123888859,3.974714569925218,1441.506767469854,2.384545428674014,89.44604605161825,29.992330682621773,30.000541427409456,1.192272714334825,29.991789699539062,29.999999999905736
656324.164884338,224135.101844923,0.5876923844105382,9749.28058163466,0.35261148994077474,90.13025267289895,30.00001183598449,29.999317625200867,0.1763057449732283,29.999999999905736,29.999305789943758
656354.163972173,224134.987490436,16.061974476108738,356.71691296923984,9.637022255452,92.62696673172873,30.00815329354692,29.990835434685195,4.8185111278096056,29.999305789943758,29.98200323915934
656384.030194923,224132.355142268,17.467043717431576,328.02219104714834,10.480446831078272,97.65774395069218,29.992449785716758,30.008813167665025,5.240223415542874,29.98200323915934,29.99834951458333
656413.54725977,224127.003146713,1.103325482115523,5193.007905810627,0.6619779995294277,100.442640161154,29.99839122499769,30.00004171794015,0.33098899976533563,29.99834951458333,30.000000000640792
656443.034536883,224121.480421978,-1.8832684796990715,3042.3585447698697,-1.1299027942504052,100.32567012780397,-30.000121545469803,-29.99678311418621,-0.5649513971228108,30.000000000640792,29.996661609930023
656472.571547956,224116.249295463,-18.86610579652802,303.69690560956474,-11.320240906292177,97.21381069490799,-30.00886846757059,-29.994192197844903,-5.66012045314385,29.996661609930023,29.982003239811075
656502.465865638,224113.957944639,-20.834046330325766,275.01032974897123,-12.501263611213979,91.25720748374526,-29.9968712905984,-30.00714047459243,-6.250631805619331,29.982003239811075,29.992257150225882
656532.442191501,224114.93537838,-3.770849529514713,1519.439560359651,-2.262254483658649,87.56678983530395,-29.992744082307663,-30.00048730896953,-1.131127241825775,29.992257150225882,29.999999999657373
656562.401113138,224116.504777734,,,,,,
